Collection,Hadith Number,Narrated By,Hadith Text,Cluster,Pillar
bukhari,15,Narrated `Abbad bin Tamim's uncle:,The Prophet (p.b.u.h) went out to offer the Istisqa' prayer and turned (and put on) his cloak inside out.,1,Salat
bukhari,16,Narrated Abu Bakra:,"We were with Allah's Messenger (ﷺ) when the sun eclipsed. Allah's Messenger (ﷺ) stood up dragging his cloak till 
he entered the Mosque. He led us in a two-rak`at prayer till the sun (eclipse) had cleared. Then the 
Prophet (p.b.u.h) said, ""The sun and the moon do not eclipse because of someone's death. So 
whenever you see these eclipses pray and invoke (Allah) till the eclipse is over.""",2,Salat
bukhari,17,Narrated `Abdullah bin Mas`ud:,"The Prophet (ﷺ) recited Suratan-Najm (103) at Mecca and prostrated while reciting it and those who were 
with him did the same except an old man who took a handful of small stones or earth and lifted it to 
his forehead and said, ""This is sufficient for me."" Later on, I saw him killed as a non-believer.",1,Hajj
bukhari,18,Narrated Ibn `Abbas:,"The Prophet (ﷺ) once stayed for nineteen days and prayed shortened prayers. So when we travel led (and 
stayed) for nineteen days, we used to shorten the prayer but if we traveled (and stayed) for a longer 
period we used to offer the full prayer.",1,Salat
bukhari,19,Narrated Ibn `Abbas:,"When the Prophet (ﷺ) got up at night to offer the Tahajjud prayer, he used to say: Allahumma lakal-hamd. 
Anta qaiyyimus-samawati wal-ard wa man fihinna. Walakal-hamd, Laka mulkus-samawati wal-ard wa 
man fihinna. Walakal-hamd, anta nurus-samawati wal-ard. Wa lakal-hamd, anta-l-haq wa wa'duka-lhaq, 
wa liqa'uka Haq, wa qauluka Haq, wal-jannatu Han wan-naru Haq wannabiyuna Haq. Wa 
Muhammadun, sallal-lahu'alaihi wasallam, Haq, was-sa'atu Haq. Allahumma aslamtu Laka wabika 
amantu, wa 'Alaika tawakkaltu, wa ilaika anabtu wa bika khasamtu, wa ilaika hakamtu faghfir li ma 
qaddamtu wama akh-khartu wama as-rartu wama'a lantu, anta-l-muqaddim wa anta-l-mu akh-khir, la 
ilaha illa anta (or la ilaha ghairuka). (O Allah! All the praises are for you, You are the Holder of the 
Heavens and the Earth, And whatever is in them. All the praises are for You; You have the possession 
of the Heavens and the Earth And whatever is in them. All the praises are for You; You are the Light 
of the Heavens and the Earth And all the praises are for You; You are the King of the Heavens and the 
Earth; And all the praises are for You; You are the Truth and Your Promise is the truth, And to meet 
You is true, Your Word is the truth And Paradise is true And Hell is true And all the Prophets (Peace 
be upon them) are true; And Muhammad is true, And the Day of Resurrection is true. O Allah ! I 
surrender (my will) to You; I believe in You and depend on You. And repent to You, And with Your 
help I argue (with my opponents, the non-believers) And I take You as a judge (to judge between us). 
Please forgive me my previous And future sins; And whatever I concealed or revealed And You are 
the One who make (some people) forward And (some) backward. There is none to be worshipped but 
you . Sufyan said that `Abdul Karim Abu Umaiya added to the above, 'Wala haula Wala quwata illa 
billah' (There is neither might nor power except with Allah).",2,Shahada
bukhari,20,Narrated Quza'a:,"I heard Abu Said saying four words. He said, ""I heard the Prophet (ﷺ) 
     (saying the following narrative)."" He had participated in twelve holy 
     battles with the Prophet.",1,Others
bukhari,21,Narrated Kuraib Maula Ibn `Abbas:,"`Abdullah bin `Abbas said that he had passed a night in the house of Maimuna the mother of the 
faithful believers , who was his aunt. He said, ""I slept across the bed, and Allah's Messenger (ﷺ) along with 
his wife slept lengthwise. Allah's Messenger (ﷺ) slept till midnight or slightly before or after it. Then Allah's 
Apostle woke up, sat, and removed the traces of sleep by rubbing his hands over his face. Then he 
recited the last ten verses of Surat-Al `Imran (2). Then he went towards a hanging leather watercontainer 
and performed a perfect ablution and then stood up for prayer."" `Abdullah bin `Abbas 
added, ""I got up and did the same as Allah's Messenger (ﷺ) had done and then went and stood by his side. 
Allah's Messenger (ﷺ) then put his right hand over my head and caught my right ear and twisted it. He 
offered two rak`at, then two rak`at, then two rak`at, then two rak`at, then two rak`at, then two rak`at 
and then offered one rak`a witr. Then he lay down till the Mu'adh-dhin came and then he prayed two 
light rak`at and went out and offered the early morning (Fajr) prayer.""",2,Shahada
bukhari,22,Narrated `Abdullah bin Buhaina:,"Allah's Messenger (ﷺ) once led us in a prayer and offered two rak`at and got up (for the third rak`a) without 
sitting (after the second rak`a). The people also got up with him, and when he was about to finish his 
prayer, we waited for him to finish the prayer with Taslim but he said Takbir before Taslim and 
performed two prostrations while sitting and then finished the prayer with Taslim.",2,Salat
bukhari,23,Narrated Abu Dhar:,"Allah's Messenger (ﷺ) said, ""Someone came to me from my Lord and gave me the news (or good tidings) 
that if any of my followers dies worshipping none (in any way) along with Allah, he will enter 
Paradise."" I asked, ""Even if he committed illegal sexual intercourse (adultery) and theft?"" He replied, 
""Even if he committed illegal sexual intercourse (adultery) and theft.""",2,Salat
bukhari,24,Narrated Ibn `Abbas:,"The Prophet (ﷺ) sent Mu`adh to Yemen and said, ""Invite the people to testify that none has the right to be 
worshipped but Allah and I am Allah's Messenger (ﷺ), and if they obey you to do so, then teach them that 
Allah has enjoined on them five prayers in every day and night (in twenty-four hours), and if they 
obey you to do so, then teach them that Allah has made it obligatory for them to pay the Zakat from 
their property and it is to be taken from the wealthy among them and given to the poor.""",3,Shahada
bukhari,25,Narrated `Abdullah bin `Abbas:,"Al-Fadl (his brother) was riding behind Allah's Messenger (ﷺ) and a woman from the tribe of Khath'am came 
and Al-Fadl started looking at her and she started looking at him. The Prophet (ﷺ) turned Al-Fadl's face to 
the other side. The woman said, ""O Allah's Messenger (ﷺ)! The obligation of Hajj enjoined by Allah on His 
devotees has become due on my father and he is old and weak, and he cannot sit firm on the Mount; 
may I perform Hajj on his behalf?"" The Prophet (ﷺ) replied, ""Yes, you may."" That happened during the 
Hajj-al-Wida (of the Prophet (ﷺ) ).",3,Hajj
bukhari,26,Narrated Abu Huraira:,"Allah's Messenger (ﷺ) said, ""(The performance of) `Umra is an expiation for the sins committed (between it 
and the previous one). And the reward of Hajj Mabrur (the one accepted by Allah) is nothing except 
Paradise.""",2,Hajj
bukhari,27,Narrated Nafi`:,"When `Abdullah bin `Umar set out for Mecca intending to perform Umra, at the time of afflictions, he 
said, ""If I should be prevented from reaching the Ka`ba, then I would do the same as Allah's Messenger (ﷺ) 
did, so I assume the lhram for Umra as Allah's Messenger (ﷺ) assumed the Ihram for Umra in the year of 
Hudaibiya.""",1,Hajj
bukhari,28,Narrated `Abdullah bin Abu Qatada:,"My father set out (for Mecca) in the year of Al-Hudaibiya, and his companions assumed Ihram, but he 
did not. At that time the Prophet (ﷺ) was informed that an enemy wanted to attack him, so the Prophet (ﷺ) 
proceeded onwards. While my father was among his companions, some of them laughed among 
themselves. (My father said), ""I looked up and saw an onager. I attacked, stabbed and caught it. I then 
sought my companions' help but they refused to help me. (Later) we all ate its meat. We were afraid 
that we might be left behind (separated) from the Prophet (ﷺ) so I went in search of the Prophet (ﷺ) and made 
my horse to run at a galloping speed at times and let it go slow at an ordinary speed at other times till I 
met a man from the tribe of Bani Ghifar at midnight. I asked him, ""Where did you leave the Prophet (ﷺ) 
?"" He replied, ""I left him at Ta'hun and he had the intention of having the midday rest at As-Suqya. I 
followed the trace and joined the Prophet (ﷺ) and said, 'O Allah's Messenger (ﷺ)! Your people (companions) 
send you their compliments, and (ask for) Allah's Blessings upon you. They are afraid lest they may 
be left behind; so please wait for them.' I added, 'O Allah's Messenger (ﷺ)! I hunted an onager and some of 
its meat is with me. The Prophet (ﷺ) told the people to eat it though all of them were in the state of 
Ihram.""",3,Hajj
bukhari,29,Narrated Anas:,"The Prophet (ﷺ) said, ""Medina is a sanctuary from that place to that. Its trees should not be cut and no 
heresy should be innovated nor any sin should be committed in it, and whoever innovates in it an 
heresy or commits sins (bad deeds), then he will incur the curse of Allah, the angels, and all the 
people."" (See Hadith No. 409, Vol 9).",2,Others
bukhari,30,Narrated Talha bin 'Ubaidullah:,"A bedouin with unkempt hair came to Allah's Messenger (ﷺ) and said, ""O Allah's Messenger (ﷺ)! Inform me what 
Allah has made compulsory for me as regards the prayers."" He replied: ""You have to offer perfectly 
the five compulsory prayers in a day and night (24 hours), unless you want to pray Nawafil."" The 
bedouin further asked, ""Inform me what Allah has made compulsory for me as regards fasting."" He 
replied, ""You have to fast during the whole month of Ramadan, unless you want to fast more as 
Nawafil."" The bedouin further asked, ""Tell me how much Zakat Allah has enjoined on me."" Thus, 
Allah's Messenger (ﷺ) informed him about all the rules (i.e. fundamentals) of Islam. The bedouin then said, 
""By Him Who has honored you, I will neither perform any Nawafil nor will I decrease what Allah has 
enjoined on me. Allah's Messenger (ﷺ) said, ""If he is saying the truth, he will succeed (or he will be granted 
Paradise).",0,Salat
bukhari,31,Narrated Abu Huraira:,"I heard Allah's Messenger (ﷺ) saying regarding Ramadan, ""Whoever prayed at night in it (the month of 
Ramadan) out of sincere Faith and hoping for a reward from Allah, then all his previous sins will be 
forgiven.""",1,Sawm
bukhari,32,Narrated Abu Huraira:,"The Prophet (ﷺ) said, ""Whoever fasted the month of Ramadan out of sincere Faith (i.e. belief) and hoping 
for a reward from Allah, then all his past sins will be forgiven, and whoever stood for the prayers in 
the night of Qadr out of sincere Faith and hoping for a reward from Allah, then all his previous sins 
will be forgiven .""",1,Salat
bukhari,33,Narrated `Abdullah bin `Umar:,Allah's Messenger (ﷺ) used to practice I`tikaf in the last ten days of the month of Ramadan.,1,Sawm
bukhari,34,Narrated Abu Huraira:,"You people say that Abu Huraira tells many narrations from Allah's Messenger (ﷺ) and you also wonder why 
the emigrants and Ansar do not narrate from Allah's Messenger (ﷺ) as Abu Huraira does. My emigrant 
brothers were busy in the market while I used to stick to Allah's Messenger (ﷺ) content with what fills my 
stomach; so I used to be present when they were absent and I used to remember when they used to 
forget, and my Ansari brothers used to be busy with their properties and I was one of the poor men of 
Suffa. I used to remember the narrations when they used to forget. No doubt, Allah's Messenger (ﷺ) once 
said, ""Whoever spreads his garment till I have finished my present speech and then gathers it to 
himself, will remember whatever I will say."" So, I spread my colored garment which I was wearing 
till Allah's Messenger (ﷺ) had finished his saying, and then I gathered it to my chest. So, I did not forget any 
of that narrations.",3,Zakat
bukhari,35,Narrated Ibn `Abbas:,"Allah's Messenger (ﷺ) came to Medina and the people used to pay in advance the price of fruits to be 
delivered within one or two years. (The sub-narrator is in doubt whether it was one to two years or 
two to three years.) The Prophet (ﷺ) said, ""Whoever pays money in advance for dates (to be delivered 
later) should pay it for known specified weight and measure (of the dates).",2,Zakat
bukhari,36,Narrated Jabir bin `Abdullah:,"Allah's Messenger (ﷺ) gave a verdict regarding Shuf'a in every undivided joint thing (property). But if the 
limits are defined (or demarcated) or the ways and streets are fixed, then there is no pre-emption.",2,Zakat
bukhari,37,Narrated Abu Musa Al-Ash`ari:,"The Prophet (ﷺ) said, ""The honest treasurer who gives willingly what he is ordered to give, is one of the 
two charitable persons, (the second being the owner).",2,Others
bukhari,38,Narrated Abu Huraira:,"The Prophet (ﷺ) said, ""Procrastination (delay) in paying debts by a wealthy man is injustice. So, if your 
debt is transferred from your debtor to a rich debtor, you should agree.""",2,Others
bukhari,39,Narrated Muhammad bin 'Amr Al-Aslami that his father Hamza said:,"'Umar (ra) sent him (i.e. Hamza) as a Sadaqa / Zakat collector. A man had committed illegal sexual intercourse with the slave girl of his wife. Hamza took (personal) sureties for the adulterer till they came to 'Umar. 'Umar had lashed the adulterer one hundred lashes. 'Umar confirmed their claim (that the adulterer had already been punished) and excused him because of being Ignorant.

Jarir Al-Ash'ath said to Ibn Mas'ud regarding renegades (i.e., those who became infidels after embracing Islam), ""Let them repent and take (personal) sureties for them."" They repented and their relatives stood sureties for them.

According to Hammad, if somebody stands surety for another person and that person dies, the person giving surety will be released from responsibility. According to Al-Hakam, his responsibilities continues.",1,Others
bukhari,40,Narrated `Ali:,Allah's Messenger (ﷺ) ordered me to distribute the saddles and skins of the Budn which I had slaughtered.,1,Others
bukhari,41,Narrated Anas bin Malik:,"Allah's Messenger (ﷺ) said, ""There is none amongst the Muslims who plants a tree or sows seeds, and then a 
bird, or a person or an animal eats from it, but is regarded as a charitable gift for him.""",2,Others
bukhari,42,Narrated Sahl bin Sa`d:,"A tumbler (full of milk or water) was brought to the Prophet (ﷺ) who drank from it, while on his right side 
there was sitting a boy who was the youngest of those who were present and on his left side there were 
old men. The Prophet (ﷺ) asked, ""O boy, will you allow me to give it (i.e. the rest of the drink) to the old 
men?"" The boy said, ""O Allah's Messenger (ﷺ)! I will not give preference to anyone over me to drink the rest 
of it from which you have drunk."" So, the Prophet (ﷺ) gave it to him.",3,Others
bukhari,43,Narrated Jabir bin `Abdullah:,"While I was in the company of the Prophet (ﷺ) in one of his Ghazawat, he asked, ""What is wrong with 
your camel? Will you sell it?"" I replied in the affirmative and sold it to him. When he reached Medina, 
I took the camel to him in the morning and he paid me its price.",3,Others
bukhari,44,Narrated `Abdullah:,"I heard a man reciting a verse (of the Holy Qur'an) but I had heard the Prophet (ﷺ) reciting it differently. 
So, I caught hold of the man by the hand and took him to Allah's Messenger (ﷺ) who said, ""Both of you are 
right."" Shu`ba, the sub-narrator said, ""I think he said to them, ""Don't differ, for the nations before you 
differed and perished (because of their differences). """,1,Others
bukhari,45,Narrated Ubai bin Ka`b:,"I found a purse containing one hundred Diners. So I went to the Prophet (and informed him about it), 
he said, ""Make public announcement about it for one year"" I did so, but nobody turned up to claim it, 
so I again went to the Prophet (ﷺ) who said, ""Make public announcement for another year."" I did, but 
none turned up to claim it. I went to him for the third time and he said, ""Keep the container and the 
string which is used for its tying and count the money it contains and if its owner comes, give it to 
him; otherwise, utilize it."" 
The sub-narrator Salama said, ""I met him (Suwaid, another sub-narrator) in Mecca and he said, 'I don't 
know whether Ubai made the announcement for three years or just one year.' """,2,Zakat
bukhari,46,Narrated Abu Sa`id Al-Khudri:,"Allah's Messenger (ﷺ) said, ""When the believers pass safely over (the bridge across) Hell, they will be 
stopped at a bridge in between Hell and Paradise where they will retaliate upon each other for the 
injustices done among them in the world, and when they get purified of all their sins, they will be 
admitted into Paradise. By Him in Whose Hands the life of Muhammad is everybody will recognize 
his dwelling in Paradise better than he recognizes his dwelling in this world.""",1,Others
bukhari,47,Narrated Jabir bin `Abdullah:,"""Allah's Messenger (ﷺ) sent an army towards the east coast and appointed Abu 'Ubaida bin Al-Jarrah as their 
chief, and the army consisted of three-hundred men including myself. We marched on till we reached 
a place where our food was about to finish. Abu- 'Ubaida ordered us to collect all the journey food and 
it was collected. My (our) journey food was dates. Abu 'Ubaida kept on giving us our daily ration in 
small amounts from it, till it was exhausted. The share of everyone of us used to be one date only."" I 
said, ""How could one date benefit you?"" Jabir replied, ""We came to know its value when even that too 
finished."" Jabir added, ""When we reached the sea-shore, we saw a huge fish which was like a small 
mountain. The army ate from it for eighteen days. Then Abu 'Ubaida ordered that two of its ribs be 
fixed and they were fixed in the ground. Then he ordered that a she-camel be ridden and it passed 
under the two ribs (forming an arch) without touching them.""",3,Others
bukhari,48,Narrated Anas:,"No doubt, the Prophet (ﷺ) mortgaged his armor for barley grams. Once I took barley bread with some 
dissolved fat on it to the Prophet (ﷺ) and I heard him saying, ""The household of Muhammad did not 
possess except a Sa (of food grain, barley, etc.) for both the morning and the evening meals although 
they were nine houses.""",1,Others
bukhari,49,Narrated Abu Huraira:,"The Prophet (ﷺ) said, ""Whoever frees a Muslim slave, Allah will save all the parts of his body from the 
(Hell) Fire as he has freed the body-parts of the slave."" Sa`id bin Marjana said that he narrated that 
Hadith to `Ali bin Al-Husain and he freed his slave for whom `Abdullah bin Ja`far had offered him ten 
thousand Dirhams or one-thousand Dinars.",1,Others
bukhari,50,Narrated `Urwa:,"Narrated 'Aishah (ra) that Barira came to seek her help writing of emancipation and she had to pay five Uqiya (of gold) by five yearly installments. 'Aishah said to her, ""Do you think that if I pay the whole sum at once, your masters will sell you to me, and I will free you and your Wala' will be for me."" Barira went to her masters and told them about that offer. They said that they would not agree to it unless her Wala' would be for them. 'Aishah further said, ""I went to Allah's Messenger (ﷺ) and told him about it."" Allah Messenger (ﷺ) said to her, ""Buy Barira and manumit her and the Wala' will be for the liberator."" Allah's Messenger (ﷺ) then got up and said, ""What about those people who stipulate conditions that are not present in Allah's Laws? If anybody stipulates a condition which is not in Allah's  Laws, then what he stipulates is invalid. Allah's Condition (Laws) are the truth and are more solid.""",4,Others
bukhari,51,Narrated Abu Huraira:,"The Prophet (ﷺ) said, ""O Muslim women! None of you should look down upon the gift sent by her female neighbor 
even if it were the trotters of the sheep (fleshless part of legs).",1,Others
bukhari,52,Narrated `Urwa bin Al-Musaiyab Alqama bin Waqqas and Ubaidullah bin `Abdullah:,"About the story of `Aisha and their narrations were similar attesting each other, when the liars said 
what they invented about `Aisha, and the Divine Inspiration was delayed, Allah's Messenger (ﷺ) sent for `Ali 
and Usama to consult them in divorcing his wife (i.e. `Aisha). Usama said, ""Keep your wife, as we 
know nothing about her except good."" Barirah said, ""I cannot accuse her of any defect except that she 
is still a young girl who sleeps, neglecting her family's dough which the domestic goats come to eat 
(i.e. she was too simpleminded to deceive her husband)."" Allah's Messenger (ﷺ) said, ""Who can help me to 
take revenge over the man who has harmed me by defaming the reputation of my family? By Allah, I 
have not known about my family-anything except good, and they mentioned (i.e. accused) a man 
about whom I did not know anything except good.""",4,Others
